2025-01-08 16:09:31,787 - Active threads: 151, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:10:31,799 - Active threads: 145, Memory usage: 0.70 GB, CPU: 12
2025-01-08 16:11:32,310 - Active threads: 134, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:12:32,311 - Active threads: 230, Memory usage: 0.72 GB, CPU: 12
2025-01-08 16:13:32,311 - Active threads: 146, Memory usage: 0.70 GB, CPU: 12
2025-01-08 16:14:32,313 - Active threads: 143, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:15:32,316 - Active threads: 142, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:16:32,873 - Active threads: 137, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:17:32,874 - Active threads: 98, Memory usage: 0.70 GB, CPU: 12
2025-01-08 16:18:32,876 - Active threads: 175, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:19:32,877 - Active threads: 150, Memory usage: 0.71 GB, CPU: 12
2025-01-08 16:20:32,878 - Active threads: 145, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:21:32,879 - Active threads: 149, Memory usage: 0.81 GB, CPU: 12
2025-01-08 16:22:32,881 - Active threads: 141, Memory usage: 0.73 GB, CPU: 12
2025-01-08 16:23:32,882 - Active threads: 148, Memory usage: 0.78 GB, CPU: 12
2025-01-08 16:24:32,883 - Active threads: 188, Memory usage: 0.80 GB, CPU: 12
2025-01-08 16:25:32,885 - Active threads: 136, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:26:33,557 - Active threads: 143, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:27:33,559 - Active threads: 146, Memory usage: 0.73 GB, CPU: 12
2025-01-08 16:28:33,848 - Active threads: 102, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:29:33,852 - Active threads: 135, Memory usage: 0.81 GB, CPU: 12
2025-01-08 16:30:33,853 - Active threads: 147, Memory usage: 0.80 GB, CPU: 12
2025-01-08 16:31:33,854 - Active threads: 127, Memory usage: 0.76 GB, CPU: 12
2025-01-08 16:32:33,856 - Active threads: 143, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:33:33,875 - Active threads: 114, Memory usage: 0.73 GB, CPU: 12
2025-01-08 16:34:33,876 - Active threads: 190, Memory usage: 0.76 GB, CPU: 12
2025-01-08 16:35:33,880 - Active threads: 97, Memory usage: 0.72 GB, CPU: 12
2025-01-08 16:36:33,883 - Active threads: 140, Memory usage: 0.74 GB, CPU: 12
2025-01-08 16:37:33,895 - Active threads: 97, Memory usage: 0.73 GB, CPU: 12
2025-01-08 16:37:52,878 - Starting new run
2025-01-08 16:37:52,878 - Active threads: 4, Memory usage: 0.18 GB, CPU: 12
2025-01-09 08:53:42,972 - Starting new run
2025-01-09 08:53:42,974 - Active threads: 4, Memory usage: 0.18 GB, CPU: 12
2025-01-09 08:54:42,977 - Active threads: 134, Memory usage: 0.63 GB, CPU: 12
2025-01-09 08:55:42,979 - Active threads: 98, Memory usage: 0.58 GB, CPU: 12
2025-01-09 08:56:43,028 - Active threads: 146, Memory usage: 0.60 GB, CPU: 12
2025-01-09 08:57:43,029 - Active threads: 200, Memory usage: 0.62 GB, CPU: 12
2025-01-09 08:58:43,030 - Active threads: 97, Memory usage: 0.62 GB, CPU: 12
2025-01-09 08:59:43,031 - Active threads: 135, Memory usage: 0.71 GB, CPU: 12
2025-01-09 09:00:43,032 - Active threads: 135, Memory usage: 0.71 GB, CPU: 12
2025-01-09 09:01:43,033 - Active threads: 137, Memory usage: 0.73 GB, CPU: 12
2025-01-09 09:02:43,033 - Active threads: 133, Memory usage: 0.69 GB, CPU: 12
2025-01-09 09:03:43,034 - Active threads: 136, Memory usage: 0.71 GB, CPU: 12
2025-01-09 09:04:43,034 - Active threads: 148, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:05:43,036 - Active threads: 149, Memory usage: 0.64 GB, CPU: 12
2025-01-09 09:06:43,035 - Active threads: 148, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:07:43,039 - Active threads: 135, Memory usage: 0.75 GB, CPU: 12
2025-01-09 09:08:43,038 - Active threads: 148, Memory usage: 0.58 GB, CPU: 12
2025-01-09 09:09:43,040 - Active threads: 146, Memory usage: 0.69 GB, CPU: 12
2025-01-09 09:10:43,040 - Active threads: 144, Memory usage: 0.63 GB, CPU: 12
2025-01-09 09:11:43,044 - Active threads: 229, Memory usage: 0.73 GB, CPU: 12
2025-01-09 09:12:43,046 - Active threads: 146, Memory usage: 0.70 GB, CPU: 12
2025-01-09 09:13:43,051 - Active threads: 99, Memory usage: 0.65 GB, CPU: 12
2025-01-09 09:14:43,052 - Active threads: 140, Memory usage: 0.69 GB, CPU: 12
2025-01-09 09:15:43,053 - Active threads: 149, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:16:43,054 - Active threads: 148, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:17:43,058 - Active threads: 136, Memory usage: 0.72 GB, CPU: 12
2025-01-09 09:18:43,059 - Active threads: 136, Memory usage: 0.72 GB, CPU: 12
2025-01-09 09:19:43,060 - Active threads: 251, Memory usage: 0.78 GB, CPU: 12
2025-01-09 09:20:43,060 - Active threads: 134, Memory usage: 0.69 GB, CPU: 12
2025-01-09 09:21:43,061 - Active threads: 96, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:22:43,062 - Active threads: 145, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:23:43,064 - Active threads: 147, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:24:43,067 - Active threads: 144, Memory usage: 0.70 GB, CPU: 12
2025-01-09 09:25:43,070 - Active threads: 146, Memory usage: 0.68 GB, CPU: 12
2025-01-09 09:26:43,074 - Active threads: 148, Memory usage: 0.68 GB, CPU: 12
2025-01-09 09:27:43,078 - Active threads: 118, Memory usage: 0.64 GB, CPU: 12
2025-01-09 09:28:43,079 - Active threads: 145, Memory usage: 0.71 GB, CPU: 12
2025-01-09 09:29:43,080 - Active threads: 148, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:30:43,084 - Active threads: 152, Memory usage: 0.64 GB, CPU: 12
2025-01-09 09:31:43,092 - Active threads: 97, Memory usage: 0.62 GB, CPU: 12
2025-01-09 09:32:43,095 - Active threads: 136, Memory usage: 0.63 GB, CPU: 12
2025-01-09 09:33:43,115 - Active threads: 99, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:34:43,135 - Active threads: 142, Memory usage: 0.67 GB, CPU: 12
2025-01-09 09:35:43,136 - Active threads: 142, Memory usage: 0.63 GB, CPU: 12
2025-01-09 09:36:43,137 - Active threads: 145, Memory usage: 0.65 GB, CPU: 12
2025-01-09 09:37:43,139 - Active threads: 100, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:38:43,140 - Active threads: 200, Memory usage: 0.63 GB, CPU: 12
2025-01-09 09:39:43,141 - Active threads: 143, Memory usage: 0.68 GB, CPU: 12
2025-01-09 09:40:43,143 - Active threads: 97, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:41:43,144 - Active threads: 145, Memory usage: 0.61 GB, CPU: 12
2025-01-09 09:42:43,148 - Active threads: 120, Memory usage: 0.61 GB, CPU: 12
2025-01-09 09:43:43,149 - Active threads: 148, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:44:43,150 - Active threads: 146, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:45:43,151 - Active threads: 208, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:46:43,153 - Active threads: 142, Memory usage: 0.63 GB, CPU: 12
2025-01-09 09:47:43,165 - Active threads: 145, Memory usage: 0.71 GB, CPU: 12
2025-01-09 09:48:43,166 - Active threads: 137, Memory usage: 0.68 GB, CPU: 12
2025-01-09 09:49:43,170 - Active threads: 142, Memory usage: 0.62 GB, CPU: 12
2025-01-09 09:50:43,172 - Active threads: 133, Memory usage: 0.64 GB, CPU: 12
2025-01-09 09:51:43,177 - Active threads: 129, Memory usage: 0.59 GB, CPU: 12
2025-01-09 09:52:43,177 - Active threads: 136, Memory usage: 0.65 GB, CPU: 12
2025-01-09 09:53:43,178 - Active threads: 150, Memory usage: 0.59 GB, CPU: 12
2025-01-09 09:54:43,179 - Active threads: 138, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:55:43,187 - Active threads: 137, Memory usage: 0.66 GB, CPU: 12
2025-01-09 09:56:43,195 - Active threads: 120, Memory usage: 0.62 GB, CPU: 12
2025-01-09 09:57:43,198 - Active threads: 131, Memory usage: 0.60 GB, CPU: 12
2025-01-09 09:58:43,201 - Active threads: 144, Memory usage: 0.65 GB, CPU: 12
2025-01-09 09:59:43,201 - Active threads: 141, Memory usage: 0.65 GB, CPU: 12
2025-01-09 10:00:43,203 - Active threads: 140, Memory usage: 0.68 GB, CPU: 12
2025-01-09 10:01:43,204 - Active threads: 98, Memory usage: 0.61 GB, CPU: 12
2025-01-09 10:02:43,206 - Active threads: 154, Memory usage: 0.62 GB, CPU: 12
2025-01-09 10:03:43,207 - Active threads: 136, Memory usage: 0.68 GB, CPU: 12
2025-01-09 10:04:43,208 - Active threads: 200, Memory usage: 0.74 GB, CPU: 12
2025-01-09 10:05:43,210 - Active threads: 143, Memory usage: 0.72 GB, CPU: 12
2025-01-09 10:06:43,212 - Active threads: 141, Memory usage: 0.71 GB, CPU: 12
2025-01-09 10:07:43,459 - Active threads: 102, Memory usage: 0.63 GB, CPU: 12
2025-01-09 10:08:43,460 - Active threads: 143, Memory usage: 0.67 GB, CPU: 12
2025-01-09 10:09:44,111 - Active threads: 141, Memory usage: 0.70 GB, CPU: 12
2025-01-09 10:10:44,112 - Active threads: 138, Memory usage: 0.72 GB, CPU: 12
2025-01-09 10:11:44,113 - Active threads: 145, Memory usage: 0.68 GB, CPU: 12
2025-01-09 10:12:44,114 - Active threads: 146, Memory usage: 0.72 GB, CPU: 12
2025-01-09 10:13:44,115 - Active threads: 143, Memory usage: 0.67 GB, CPU: 12
2025-01-09 10:14:44,118 - Active threads: 138, Memory usage: 0.72 GB, CPU: 12
2025-01-09 10:15:44,119 - Active threads: 191, Memory usage: 0.70 GB, CPU: 12
2025-01-09 10:16:44,121 - Active threads: 143, Memory usage: 0.71 GB, CPU: 12
2025-01-09 10:17:44,122 - Active threads: 142, Memory usage: 0.70 GB, CPU: 12
